,index,0,1,2,3,4,5,6,7,8,9,treated,outcome,matched
0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,0,0,0,0,0,0,0,0,1,-1,0
2,2,1,1,0,0,0,1,0,0,1,0,1,-1,0
3,3,0,0,0,0,0,0,0,0,0,1,1,-1,0
4,4,0,0,0,0,0,1,0,0,0,0,1,-1,0
5,5,1,1,0,0,0,0,0,0,0,0,1,-1,0
6,6,1,1,0,0,0,0,0,0,0,0,0,-1,0
7,7,1,1,0,0,0,0,0,0,0,0,1,-1,0
8,8,0,0,0,0,0,0,1,0,0,1,0,1,0
9,9,0,0,0,0,0,0,0,0,0,0,0,-1,0
10,10,0,0,0,0,0,0,0,0,0,0,1,-1,0
11,11,1,1,0,0,0,0,1,1,0,0,0,-1,0
12,12,0,0,0,0,0,0,1,1,1,0,0,-1,0
13,13,0,0,0,0,0,0,1,1,0,0,0,-1,0
14,14,1,1,0,0,0,0,0,0,0,0,1,-1,0
15,15,0,0,0,0,0,0,0,0,0,0,1,-1,0
16,16,1,1,0,0,0,0,0,0,0,0,1,-1,0
17,17,1,1,0,0,0,0,0,0,0,0,0,-1,0
18,18,0,0,0,0,0,1,0,0,0,0,1,-1,0
19,19,1,1,0,0,0,0,0,0,0,0,1,-1,0
20,20,0,0,0,0,0,0,1,0,0,1,1,-1,0
21,21,0,0,0,1,1,1,0,1,0,0,0,1,0
22,22,0,0,0,0,0,1,0,1,0,0,1,1,0
23,23,1,1,0,0,0,0,0,0,0,0,1,-1,0
24,24,1,1,0,0,0,0,0,0,0,0,1,-1,0
25,25,1,1,0,0,0,1,1,1,1,1,0,1,0
26,26,0,0,0,0,0,0,0,0,0,0,0,-1,0
27,27,1,0,0,0,0,0,0,0,0,0,1,-1,0
28,28,0,0,0,0,0,0,0,0,0,0,1,-1,0
29,29,1,1,0,0,0,0,0,0,0,0,1,-1,0
30,30,0,0,0,0,0,1,0,0,0,0,1,-1,0
31,31,0,0,0,0,0,0,0,1,0,1,0,1,0
32,32,0,0,0,0,0,0,0,0,0,0,0,-1,0
33,33,0,0,0,0,0,0,0,0,1,0,0,-1,0
34,34,1,1,0,0,0,1,0,1,0,0,0,-1,0
